Participante,Equipo 1,Gana 1,Empate,Gana 2,Equipo 2
Gonzalo,Barracas Central,X, , ,Independiente
Gonzalo,Instituto,X, , ,Atlético Tucuman
Gonzalo,Argentinos Juniors,X, , ,Arsenal
Gonzalo,San Lorenzo,X, , ,Gimnasia
Gonzalo,Defensa y Justicia,X, , ,Talleres
Gonzalo,Central Córdoba,X, , ,Tigre
Gonzalo,Belgrano,X, , ,Lanus
Gonzalo,Racing,X, , ,Sarmiento
Gonzalo,River,X, , ,Godoy Cruz
Gonzalo,Estudiantes,X, , ,Huracan
Gonzalo,Rosario Central,X, , ,Union
Gonzalo,Banfield,X, , ,Boca
Gonzalo,Colon,X, , ,Newells
Gonzalo,Velez,X, , ,Platense
Emiliano,Barracas Central, ,X, ,Independiente
Emiliano,Instituto, , ,X,Atlético Tucuman
Emiliano,Argentinos Juniors,X, , ,Arsenal
Emiliano,San Lorenzo, , ,X,Gimnasia
Emiliano,Defensa y Justicia,X, , ,Talleres
Emiliano,Central Córdoba,X, , ,Tigre
Emiliano,Belgrano, , ,X,Lanus
Emiliano,Racing,X, , ,Sarmiento
Emiliano,River, ,X, ,Godoy Cruz
Emiliano,Estudiantes,X, , ,Huracan
Emiliano,Rosario Central,X, , ,Union
Emiliano,Banfield, , ,X,Boca
Emiliano,Colon, , ,X,Newells
Emiliano,Velez,X, , ,Platense
Gonzalo,Unión,X, , ,Racing
Gonzalo,Arsenal,X, , ,Tigre
Gonzalo,Independiente,X, , ,Colón
Gonzalo,Platense,X, , ,Defensa y Justicia
Gonzalo,Godoy Cruz,X, , ,Belgrano
Gonzalo,Atlético Tucumán,X, , ,Barracas Central
Gonzalo,Gimnasia,X, , ,Estudiantes
Gonzalo,Boca,X, , ,Instituto
Gonzalo,Sarmiento, , ,X,River
Gonzalo,Talleres,X, , ,Banfield
Gonzalo,Newells,X, , ,San Lorenzo
Gonzalo,Lanus,X, , ,Argentinos
Gonzalo,Huracan,X, , ,Rosario Central
Gonzalo,Velez,X, , ,Central Córdoba
Emiliano,Unión, ,X, ,Racing
Emiliano,Arsenal,X, , ,Tigre
Emiliano,Independiente,X, , ,Colón
Emiliano,Platense,X, , ,Defensa y Justicia
Emiliano,Godoy Cruz,X, , ,Belgrano
Emiliano,Atlético Tucumán, ,X, ,Barracas Central
Emiliano,Gimnasia, , ,X,Estudiantes
Emiliano,Boca,X, , ,Instituto
Emiliano,Sarmiento, , ,X,River
Emiliano,Talleres, , ,X,Banfield
Emiliano,Newells,X, , ,San Lorenzo
Emiliano,Lanus, , ,X,Argentinos
Emiliano,Huracan,X, , ,Rosario Central
Emiliano,Velez,X, , ,Central Córdoba
